twrank,twhandle,twtext
586,@rober_koptas,56
587,@tuncelsebahat,56
588,@tezelali,55
589,@yalcincakir,55
590,@ozbekbahadir,55
591,@Akif_Hamzacebi,55
592,@dmtevgar,55
593,@cagatayozdogru,55
594,@ElifD1,54
595,@baharkorcan,54
596,@RoniMargulies,54
597,@D_AliTorlak,54
598,@mkulunk,53
599,@eyuboglualice,53
600,@berraktzntc,53
601,@abdulkdir_selvi,53
602,@Mumtazer,52
603,@sanatatak,52
604,@Gonca_Vuslateri,52
605,@pinarersoy,52
606,@kutlugataman,52
607,@mensurakgun,52
608,@BelmaSatir,52
609,@derinbmermerci,52
610,@anjelikaakbar,51
611,@YildizzTilbee,51
612,@alifuatyilmazer,51
613,@Kadir__Topbas,51
614,@tongsiroguz,51
615,@yankiyazgancom,51
616,@ozdemsanberk,51
617,@ezop2011,51
618,@BunyaminSurmeli,50
619,@ishinkaraca,49
620,@profdrihsanoglu,49
621,@ozgeulusoyresmi,49
622,@Mhsnkrmzgl,49
623,@aysebohurler,49
624,@nihadagenc,49
625,@FGulencomTR,49
626,@omer_topbas,49
627,@CEZA_ED,49
628,@okanbayulgen,49
629,@HalilSoyletmez,48
630,@sevdaturkusev,48
631,@gulhantekin,48
632,@stelyop,47
633,@yavuzseckin,47
634,@MucellaYapici,47
635,@keremalkin,46
636,@kucukiskender,46
637,@akapismak,46
638,@MTanal,46
639,@Yaziyor,46
640,@mkartoglu,46
641,@melisdanismend,46
642,@emrekkinay,45
643,@Fatma_Barbaros,45
644,@ilhancihaner,45
645,@toygarisikli,45
646,@kitapdunyasi,45
647,@serenserengilSS,44
648,@kizilkaya66,44
649,@CanAnayasa,44
650,@senerabdullatif,44
651,@tugrultulek,44
652,@lokmanayva,44
653,@ekurkcuHDP,43
654,@KorogluDerya,43
655,@ofunal,42
656,@hidayet_karaca,42
657,@huseyinsahinnet,42
658,@KemalBurkay1,42
659,@enginozkoc,41
660,@skulkuloglu,41
661,@Yalcinbayer,41
662,@NecdetPamir,41
663,@tunabeklevic,41
664,@ZelihaSunal,41
665,@ibinici,40
666,@egzOzpirincci,40
667,@ErginSadulllah,40
668,@avhamzadag,40
669,@fikriisik,40
670,@bskazizkocaoglu,40
671,@yukselozden,39
672,@Cengizyavili,39
673,@RizaKocaoglu,39
674,@Dr_K_Aydin,39
675,@handefrt,39
676,@oneyferyal,39
677,@armanayse,39
678,@sarpapak81,38
679,@Umur_Talu,38
680,@Nazenint,38
681,@ahmetrizakorkut,38
682,@Nimet_Bas,38
683,@ece_sukan,38
684,@aysenuryazici,38
685,@ackilic76,37
686,@YoncaEvcimik,37
687,@velveleyeverdim,37
688,@ilkerkoc2,37
689,@yesimsalkim,37
690,@ayseozyilmazel,37
691,@calikoznur,36
692,@DOGANAKINT24,36
693,@MuezzinogluDR,36
694,@Jaharrad,36
695,@erdgnbayraktr,36
696,@fthturkmenoglu,36
697,@Umit_Kocasakal,35
698,@Ceyda_duvenci,35
699,@emrekarayel01,35
700,@AhmetMisbah,35
701,@ikalin1,35
702,@banuka,35
703,@VolkanCanali,34
704,@TulaySelamoglu,34
705,@Geo151976,34
706,@canerclsr,33
707,@Cengiz_Turhan,33
708,@kemalozturk2020,33
709,@afifd,33
710,@Tonbekici,33
711,@YilCagAtiksoy,33
712,@MustafaSentop,33
713,@EUTarhan,33
714,@MuammerGulerr,33
715,@erenerdemnet,33
716,@aberatconkar,32
717,@KavlakPevrul,32
718,@Hayati_Yazici,32
719,@desifrehaber,32
720,@bulent_arinc,32
721,@nurancakmakci,32
722,@ezgimola,32
723,@halimekokce,32
724,@pnouma21,32
725,@cemerciyes,32
726,@tccankaya,31
727,@CMYLMZ,31
728,@BekirDeveli,31
729,@ercan_karakas,31
730,@GUVENOZALPBXL,31
731,@ekinturkmen,31
732,@edibesozen,31
733,@memboydak,31
734,@aktaserdogan,31
735,@atalaydemirci,30
736,@tweetingdefne,30
737,@volkan_bozkir,30
738,@mungan_murathan,30
739,@guldalaksit,30
740,@emrkongar,30
741,@hamzayerlikaya,30
742,@Fenerbahce,29
743,@bulentparlak,29
744,@basaktemel,29
745,@ersinduzen,29
746,@bekrcoskn,29
747,@KarakasEser,29
748,@emrealt,29
749,@KAYABJK,29
750,@CengizCandar,29
751,@YoncaLodi17,29
752,@fetinkazanci,28
753,@askonuk,28
754,@mehmetdemirkolb,28
755,@mancolog,28
756,@busrapekin,28
757,@nihattosun61,28
758,@efkanala,28
759,@sibelarna,28
760,@ertanaydin,28
761,@emirsarigul,28
762,@NihatKahveci8,28
763,@HalukMesci,28
764,@Murat_Alparslan,27
765,@nihatipoglu,27
766,@NilBurakk,27
767,@csgbfarukcelik,27
768,@AhmetGunestekin,27
769,@yenerdonmez,27
770,@Candan_Dost,27
771,@EnverYucel,27
772,@ferhatgocer,27
773,@ecevahapoglu,26
774,@kemalgulen,26
775,@soraynazan,26
776,@ethemkutu,26
777,@EYorgancilar,26
778,@avsarhellin,26
779,@erdilyasaroglu,25
780,@FURKANKIZILAY,25
781,@gupseo,25
782,@YZOzcan,25
783,@Kaleagasi,25
784,@hacisabanci,25
785,@birolguven,25
786,@Mustafa___Demir,25
787,@ineziroglu,25
788,@mustinetnet,25
789,@ismail_safi,25
790,@kamalakmustafa,25
791,@SunaVidinli,25
792,@kekec_ahmet,24
793,@AyseTolga,24
794,@Yasemin_Mori,24
795,@SafakSezer,24
796,@sabriugan,24
797,@Erdal_Sen,24
798,@YeniAlisan,24
799,@serefoguz,24
800,@cuneyttoros,24
801,@ErolEsra,24
802,@yeniceriozcan,24
803,@sibel_tuzun,23
804,@sayinemell,23
805,@halilsezaip,23
806,@handeyener,23
807,@KemalDogulu,23
808,@ismailsaymaz,23
809,@gerisayim,23
810,@yerdinc65,23
811,@RHisarciklioglu,23
812,@MU_ULKER,23
813,@omerdongeloglu,23
814,@Guzelzinho,23
815,@pinaratacan,23
816,@SunalAli,22
817,@sevvalsam,22
818,@TugrulTurkes,22
819,@asaydam,22
820,@ozaysendir,22
821,@ulgenbulent,22
822,@mozaydinli,22
823,@Muneccimbasi,22
824,@banuzeytinoglu,22
825,@yelchin,22
826,@cigdematabek,22
827,@NadideS,21
828,@sencerayata,21
829,@ardakutsal,21
830,@ERDEMYENER,21
831,@NurGer1,21
832,@alihakanxyz,21
833,@cbabdullahgul,21
834,@sinanakcil,21
835,@CigdemAnad,21
836,@cuneytsen,21
837,@YasrNuriOzturk,20
838,@munibenno,20
839,@av_idrissahin,20
840,@hasandoganTR,20
841,@RasimOzan_K,20
842,@ZeybekciNihat,20
843,@nuhyilmaz,20
844,@T_MenderesTurel,20
845,@atademirer,20
846,@GalatasaraySK,20
847,@kaankural,20
848,@yaktay,20
849,@KaracanOkan,20
850,@FadikAtasoy,19
851,@GFeyman,19
852,@DogusOfficial,19
853,@hdpdemirtas,19
854,@EbruGundes,19
855,@esraceydaersoy,19
856,@adnandalgakiran,19
857,@mahirunal,19
858,@salimuslu_,19
859,@AlperTasdelen06,19
860,@busearici,19
861,@turgutkazan,19
862,@Bengu,19
863,@memetalialabora,19
864,@duygucetinkaya,19
865,@deniz_arcak,18
866,@volkanaki,18
867,@VahapMunyar,18
868,@kursatbasar,18
869,@EmrahHattat,18
870,@OzlemTekin,18
871,@beyinsiz_adam,17
872,@drorhanatalay65,17
873,@sukruelekdag,17
874,@baydemirosman,17
875,@EbruYasarOnline,17
876,@SonerArica,17
877,@ozlem_denizmen,17
878,@halesen,17
879,@AlatonLeyla,17
880,@yel_yeliz,17
881,@TC_Disisleri,16
882,@DudekSenay,16
883,@LaraSayilgan,16
884,@suheylbatum,16
885,@sedaogretir,16
886,@beduk,16
887,@caglarmustafa,16
888,@okaygonensin,16
889,@Hadise,16
890,@atilla_yayla,16
891,@NOdabasi,16
892,@sebnembursali,16
893,@OzcanDeniz,16
894,@BilalMacit,16
895,@fenerlicavus,16
896,@BuseTerim,16
897,@SevanNisanyan,15
898,@selcuk_dereli,15
899,@silagencoglu,15
900,@MORGULYILMAZ,15
901,@ozguraras,15
902,@latiferdogan56,15
903,@osmandevelioglu,15
904,@enisarikan,15
905,@atigoll,15
906,@cemkinay,15
907,@cundubeyoglu,15
908,@gundesbakir,15
909,@cemadrian,15
910,@ferhatkentel,15
911,@ukaran1976,15
912,@ebrudestaninan,15
913,@zeynabelle,15
914,@bfalay,15
915,@NurrYerlitas,14
916,@YakupSaritemur,14
917,@iremsak,14
918,@Vefa_Tarhan,14
919,@alipoyrazoglu,14
920,@nazan_oncel,14
921,@hasibe_eren,14
922,@LokmanCagirici,14
923,@halukipek06,14
924,@Boraoztoprak,14
925,@TBMMresmi,14
926,@acaliskan40,14
927,@cantanriyar1907,14
928,@UmitKiler,14
929,@ozguralaz,14
930,@AhmetBOgutken,14
931,@UnalCevikoz,14
932,@aykurtnuh,13
933,@DoganCuceloglu,13
934,@GogebakanMurat,13
935,@skadibesegil,13
936,@cem_boyner,13
937,@FeryalGulman,13
938,@hidoturkoglu15,13
939,@kisanakgultan,13
940,@serdargokalp,13
941,@erdoganarikan,12
942,@BurcuGnes,12
943,@fatos_kabasakal,12
944,@leventerden,12
945,@faikoztrak,12
946,@eseryenenler,12
947,@serrafine,12
948,@yeniay_aziz,12
949,@selcuk_yontem,12
950,@maliilicak,12
951,@haydrendersarac,12
952,@beratozipek,12
953,@uzunsoray,12
954,@SahnazCakiralp,12
955,@Ece44,12
956,@Leyla_Ipekci,12
957,@Besiktas,12
958,@cefi,12
959,@AdilSerdars,11
960,@Akbag_Demet,11
961,@MehmetOkur13,11
962,@mustafaceceli,11
963,@OYUNADAMI,11
964,@Alex10combr,11
965,@Nazmigur,11
966,@demetsabanci,11
967,@derya_sensoy,11
968,@aslioymen,11
969,@birsentezer,11
970,@DidemUzelSARI,11
971,@leventtulek,11
972,@suzan_kardes,11
973,@sinanguler,11
974,@huseyingulercee,11
975,@DIBMehmetGormez,11
976,@ErknCan,11
977,@Vahit_Kiler,11
978,@SelinBoronkays,11
979,@ferhan_sensoy,11
980,@Seray_Sever,11
981,@muratevgin,10
982,@peliniioztekin,10
983,@abagis,10
984,@umransavasinan,10
985,@ResatPetek,10
986,@unsalban,10
987,@MuratDalkilic,10
988,@ihhinsaniyardim,10
989,@AtillaYesilada1,10
990,@sahinirmak,10
991,@oztekinrasim,10
992,@TolgaCevik,10
993,@ziynetsali,10
994,@MalikEcderOzdmr,10
995,@OzanKibritci,10
996,@MCumbulOfficial,10
997,@DemirBetul,10
998,@tugbaozerk,10
999,@mrvsevi,9
1000,@bulenttanik,9
1001,@Bilal_Erdogan,9
1002,@MuratBoz,9
1003,@MuhittinBosat,9
1004,@hulyavsar,9
1005,@okay_karacan,9
1006,@hakanturpcu,9
1007,@ozgurmasur,9
1008,@Serdarortacs,9
1009,@AlenMarkaryan,9
1010,@guvsak,9
1011,@sirsureyya,9
1012,@NukhetDuru,9
1013,@ahusungur1,9
1014,@AysegulDinckok,9
1015,@ZekiDemirkubuz,9
1016,@erginsadullah,9
1017,@_gokhangonul,9
1018,@alper_tas,9
1019,@GunerFuat,8
1020,@MevlutAslanoglu,8
1021,@yek_35,8
1022,@srkbdy,8
1023,@celikerisci,8
1024,@zaramuzik,8
1025,@Izelcelikozz,8
1026,@Lerzan_Mutlu,8
1027,@hamditopcu53,8
1028,@kenandogulu,8
1029,@fundaarar,8
1030,@Nagehanalci,8
1031,@GalipEnsarioglu,8
1032,@melek_baykal,8
1033,@NEWSSEEKERNO1,8
1034,@Sagopakajmerrap,8
1035,@metinkeceli,8
1036,@CenkTosun_,8
1037,@deryakaradas1,8
1038,@handekuday,7
1039,@atakankurt2,7
1040,@mithatsancar,7
1041,@kadirdogullu,7
1042,@nuraysayari,7
1043,@Niltakipte,7
1044,@Tahsin_Yilmaz,7
1045,@sivilayabla,7
1046,@GuvenKiracResmi,7
1047,@saba_t,7
1048,@ahmetcakar1,7
1049,@iclalaydin,7
1050,@sercanyildirim9,7
1051,@zeyneporaltwit,7
1052,@fatihaltayli,7
1053,@bgmoner,7
1054,@ugurarslanua,7
1055,@ssayanofficial,7
1056,@sulezeybek,7
1057,@suatkavukluoglu,7
1058,@ugursefkat,7
1059,@tuncatoskay,7
1060,@akelali,7
1061,@didem_soydan,7
1062,@SumruYavrucuk,7
1063,@ferzanozpetek,7
1064,@nasuhigungor,7
1065,@Hayriinonu,6
1066,@AYDIN_KUSUM,6
