twhandle,twtext
@ChuckGrassley,45
@SenatorCarper,45
@SenatorBarb,45
@Roygeneable,45
@rosemcgowan,45
@marieosmond,45
@mollymcnearney,45
@Pontifex,45
@pfeiffer44,45
@stephenfry,45
@SenDanCoats,44
@RL_Stine,44
@JeffreyToobin,44
@shushwalshe,43
@garyvee,43
@lisaling,43
@Lis_Smith,43
@flaviajackson,43
@RickSantorum,43
@koxinga21,43
@justinbieber,43
@TheRichardLewis,43
@ChristineOD,43
@SenatorTimScott,42
@Isobel_Coleman,42
@ChelseaClinton,42
@NICKIMINAJ,42
@bobsaget,42
@camanpour,42
@klustout,42
@greggiroux,42
@Cmdr_Hadfield,42
@kdrum,42
@richardbranson,42
@johnjcook,42
@MichaelSteele,41
@nathanLfuller,41
@ElizabethBanks,41
@frankrichny,41
@DiDimond,41
@JessicaMontell,41
@carlreiner,41
@GavinNewsom,41
@sethmeyers,41
@Aaronhicklin,41
@MichaelAusiello,41
@GeorgeTakei,40
@clairecmc,40
@DennisDMZ,40
@PattyArquette,40
@DrOz,40
@BillMoyersHQ,40
@Austan_Goolsbee,40
@Alancumming,40
@BBCMarkMardell,40
@rachaelray,40
@lolojones,40
@pemalevy,40
@GeraldFSeib,39
@KimKardashian,39
@PattyMurray,39
@WilliamFreeland,39
@peeweeherman,39
@husainhaqqani,39
@jimmykimmel,39
@chrisrock,39
@AndersFoghR,39
@vanderjames,39
@tomperriello,38
@joerogan,38
@MileyCyrus,38
@mtaibbi,38
@EvaLongoria,38
@JoeTrippi,38
@gelhaddad,38
@ChrisCoons,38
@marcorubio,38
@nikkalanz,38
@Sethrogen,38
@donlemon,38
@blakehounshell,38
@JohnDingell,38
@ladygaga,37
@Morning_Joe,37
@finneyk,37
@FrankBruni,37
@suttonnick,37
@alaindebotton,37
@bensherwood,37
@gabrielsherman,36
@taylorswift13,36
@ActuallyNPH,36
@DarcyBurner,36
@financialissues,36
@ValerieAmos,36
@babyrabies,36
@JulietteLewis,36
@NancySinatra,36
@karaswisher,36
@ThatKevinSmith,36
@TinaBrownLM,36
@vj44,36
@SenJeffMerkley,36
@BernardGoldberg,36
@RickWarren,35
@jtimberlake,35
@SenatorHagan,35
@margaretcho,35
@glennbeck,35
@eucopresident,35
@thatbilloakley,35
@Number10gov,35
@realjonlovitz,35
@LanceBass,35
@rihanna,35
@Pogue,35
@GarryShandling,35
@charltonbrooker,35
@MelissaEGilbert,35
@sallyquinndc,35
@SamSifton,34
@MsMelanieSykes,34
@lilyallen,34
@IvankaTrump,34
@iamwill,34
@kathygriffin,34
@MarkRuffalo,34
@DavidGrann,33
@nancyodell,33
@mattbish,33
@NikkiFinke,33
@GovGaryJohnson,33
@RuthDavidsonMSP,33
@ForestWhitaker,33
@KChenoweth,33
@DavidSpade,33
@ToryAnarchist,32
@jayleno,32
@MarkWarner,32
@WynonnaMusic,32
@Peston,32
@LoganLevkoff,32
@ABFalecbaldwin,32
@GovMikeHuckabee,32
@ricky_martin,32
@JerryRice,32
@imamjohari,32
@johannhari101,32
@Richard_Florida,32
@RealRonHoward,31
@tiesto,31
@DebraMessing,31
@richardquest,31
@GovernorPerry,31
@tyrabanks,31
@MarthaStewart,31
@Slash,31
@JenGranholm,31
@debimazar,31
@VanJones68,31
@JordinSparks,31
@andyrNYT,31
@SenatorLeahy,31
@Nouriel,31
@Bourdain,30
@KingJames,30
@netanyahu,30
@hwinkler4real,30
@SenatorTomUdall,30
@RealHughJackman,30
@katewalsh,30
@chrisbrown,30
@tomcolicchio,30
@UN_Spokesperson,30
@cptime,30
@johnboehner,30
@andersoncooper,30
@DrewFromTV,30
@ksnavarra,30
@cool_pond,30
@Wolfiesmom,30
@SenJackReed,30
@markopp1,30
@DeepakChopra,30
@ChrissieEvert,29
@elizabethforma,29
@joepompeo,29
@AnnaKendrick47,29
@JohnStamos,29
@EllenBarkin,29
@lucymarcus,29
@NiaVardalos,29
@edshow,29
@billburton,29
@morgfair,29
@vika7,29
@JennyMcCarthy,29
@copyranter,29
@EricIdle,29
@GloriaEstefan,29
@MollyRingwald,28
@SenatorBurr,28
@LeezaGibbons,28
@JessicaBiel,28
@zoesaldana,28
@kevinrose,28
@evanrachelwood,28
@cyndilauper,27
@mortreport,27
@KristaVernoff,27
@SenJohnThune,27
@jasoncollins98,27
@Kateplusmy8,27
@RumsfeldOffice,27
@neilhimself,27
@adamlevine,27
@nancefinance,27
@alfranken,27
@algore,27
@wizkhalifa,27
