newsdate,twcount,title,href
2015-01-06 00:00:00,19,‘The Bachelor’ still looks for love after 19 seasons,http://theplazz.com/2015/01/3135922/
2015-01-06 00:00:00,4,HBO renews ‘Girls’ ahead of season 4,http://theplazz.com/2015/01/3135920/
2015-01-06 00:00:00,15,Monday night Twitter outage causes lag,http://theplazz.com/2015/01/3135606/
2015-01-05 00:00:00,6,"Report: Verizon seeks to acquire, team with AOL",http://theplazz.com/2015/01/3135640/
2015-01-05 00:00:00,15,Oil prices continue to tank on global glut,http://theplazz.com/2015/01/3132602/
2015-01-05 00:00:00,12,John Boehner unlikely to leave speaker seat,http://theplazz.com/2015/01/3133476/
2015-01-05 00:00:00,3,Sharyl Attkisson sues DOJ for surveillance,http://theplazz.com/2015/01/3134247/
2015-01-05 00:00:00,12,Keystone among new Congress’ top priorities,http://theplazz.com/2015/01/3134175/
2015-01-05 00:00:00,8,NYPD’s arrest slowdown enters second week,http://theplazz.com/2015/01/3134511/
2015-01-05 00:00:00,6,1st Jewish Miss America Bess Myerson dies at 90,http://theplazz.com/2015/01/3134377/
2015-01-05 00:00:00,6,WH uses Scalise scandal to take a swipe at GOP,http://theplazz.com/2015/01/3134214/
2015-01-05 00:00:00,5,Girl Scouts hit on health trends in new cookies,http://theplazz.com/2015/01/3133254/
2015-01-05 00:00:00,20,12th day of Christmas: Go back to work,http://theplazz.com/2015/01/3132901/
2015-01-05 00:00:00,10,"Euro economy uneasy, Draghi pushes QE",http://theplazz.com/2015/01/3132326/
2015-01-05 00:00:00,17,Tech enthusiasts gear up for CES 2015,http://theplazz.com/2015/01/3131397/
2015-01-05 00:00:00,16,"Change afoot, ‘Downton Abbey’ returns to PBS",http://theplazz.com/2015/01/3132327/
2015-01-04 00:00:00,45,Is Cowboys fandom a liability for Christie?,http://theplazz.com/2015/01/3131480/
2015-01-04 00:00:00,67,ESPN’s Stuart Scott dies of cancer at 49,http://theplazz.com/2015/01/3129900/
2015-01-04 00:00:00,7,Critics: ‘Tak3n’ caps off trilogy with a whimper,http://theplazz.com/2015/01/3131202/
2015-01-04 00:00:00,16,Officials’ controversial call reversal slammed,http://theplazz.com/2015/01/3131902/
2015-01-04 00:00:00,32,Scant Twitter love for Cowboys’ wild-card win,http://theplazz.com/2015/01/3130969/
2015-01-04 00:00:00,20,Slain NYPD officer laid to rest amid protests,http://theplazz.com/2015/01/3129363/
2015-01-04 00:00:00,14,Gohmert throws hat in ring for House speaker,http://theplazz.com/2015/01/3129733/
2015-01-04 00:00:00,16,‘Parting is such sweet sorrow…’,http://theplazz.com/2015/01/3129634/
2015-01-04 00:00:00,5,Celebrities ready to rumble with UFC 182,http://theplazz.com/2015/01/3129616/
2015-01-04 00:00:00,4,Huckabee’s weight a hot topic after 2016 news,http://theplazz.com/2015/01/3129360/
2015-01-03 00:00:00,22,Nevermore: Ravens steal AFC Wild Card berth,http://theplazz.com/2015/01/3129156/
2015-01-03 00:00:00,5,Angelenos feel pair of nearby earthquakes,http://theplazz.com/2015/01/3129196/
2015-01-03 00:00:00,20,"Panthers, Cardinals kick off wild-card weekend",http://theplazz.com/2015/01/3127152/
2015-01-03 00:00:00,45,"Huckabee to quit Fox, considers 2nd WH bid",http://theplazz.com/2015/01/3128500/
2015-01-03 00:00:00,13,"Edward Brooke, Senate trailblazer, dies at 95",http://theplazz.com/2015/01/3128215/
2015-01-03 00:00:00,11,Year’s first winter storm tracks northeast,http://theplazz.com/2015/01/3127534/
2015-01-03 00:00:00,6,Sarah Palin’s Facebook post angers pet lovers,http://theplazz.com/2015/01/3126079/
2015-01-03 00:00:00,15,Selfie sticks make big flash in selfie culture,http://theplazz.com/2015/01/3127130/
2015-01-03 00:00:00,8,UK’s Prince Andrew faces sex-slave claims,http://theplazz.com/2015/01/3126006/
2015-01-03 00:00:00,76,Weekend@ThePlazz: Random Brilliance,http://theplazz.com/2015/01/3110848/
2015-01-03 00:00:00,6,Opry gives sendoff for Little Jimmy Dickens,http://theplazz.com/2015/01/3126918/
2015-01-02 00:00:00,9,‘Back to the Future’ 2015 predictions hit and miss,http://theplazz.com/2015/01/3126111/
2015-01-02 00:00:00,6,"Despite rumors, Kelly unlikely to leave Eagles",http://theplazz.com/2015/01/3125888/
2015-01-02 00:00:00,7,‘Beverly Hillbillies’ beauty Donna Douglas dies,http://theplazz.com/2015/01/3125674/
2015-01-02 00:00:00,12,NY Police unions: No slowdown ordered,http://theplazz.com/2015/01/3123388/
2015-01-02 00:00:00,27,N. Korea sanctions ‘first step’ against Sony hack,http://theplazz.com/2015/01/3125168/
2015-01-02 00:00:00,5,Wedding bells to ring for same-sex couples in Fla.,http://theplazz.com/2015/01/3122537/
2015-01-02 00:00:00,15,Back to the grind: Is it Friday already?,http://theplazz.com/2015/01/3124185/
2015-01-02 00:00:00,12,Broken bones won’t keep Reid out of Senate,http://theplazz.com/2015/01/3124531/
2015-01-02 00:00:00,6,Bike accident may keep Bono from guitar playing,http://theplazz.com/2015/01/3124269/
2015-01-01 00:00:00,68,"Mario Cuomo, former NY governor, dies at 82",http://theplazz.com/2015/01/3122848/
2015-01-01 00:00:00,28,Ohio topples No. 1 Alabama in Sugar Bowl,http://theplazz.com/2015/01/3123297/
2015-01-01 00:00:00,36,Oregon Ducks obliterate FSU 59-20 in Rose Bowl,http://theplazz.com/2015/01/3121372/
2015-01-01 00:00:00,9,Spartans smash Baylor in 4th at Cotton Bowl,http://theplazz.com/2015/01/3122261/
2015-01-01 00:00:00,6,Google helps you tackle New Year hangovers,http://theplazz.com/2015/01/3121555/
2015-01-01 00:00:00,39,Early defeat sets in as resolve gets tested,http://theplazz.com/2015/01/3121533/
2015-01-01 00:00:00,9,With eyes on 2016 Jeb Bush quits board seats,http://theplazz.com/2015/01/3120296/
2015-01-01 00:00:00,74,Tweeps start 2015 with great expectations,http://theplazz.com/2015/01/3121070/
2015-01-01 00:00:00,59,"From East Coast to West, the champagne pops",http://theplazz.com/2015/01/3121031/
2014-12-31 00:00:00,181,Celeb greetings wish the happiest of new years,http://theplazz.com/2014/12/3117417/
2014-12-31 00:00:00,36,"Cooper, Griffin, Seacrest lead NYC countdown",http://theplazz.com/2014/12/3120065/
2014-12-31 00:00:00,4,How to avoid Uber surge pricing on New Year’s,http://theplazz.com/2014/12/3119670/
2014-12-31 00:00:00,9,Will Wall Street suffer a hangover in 2015?,http://theplazz.com/2014/12/3119745/
2014-12-31 00:00:00,4,Kim Kardashian denies baby bump rumors,http://theplazz.com/2014/12/3120013/
2014-12-31 00:00:00,64,"Tweeps wish for 2015 to be happier, healthier",http://theplazz.com/2014/12/3119250/
